,url_len,path_len,num_dots,path_dots,num_hyphens,num_underscores,num_at,num_qmark,num_equal,num_amp,num_percent,num_digits,num_letters,num_subdirs,num_frag,num_special,num_repeating,num_upper,num_non_ascii,num_slashes,num_params,ratio_digits,ratio_letters,url_entropy,ip_flag,subdomain_parts,has_multi_subdomain,tld_len,risky_tld,https_flag,shortened,sus_words,brand_mismatch,puny,susp_ext,suspicious_port,max_consonants,max_vowels,max_digits,leet_speak_score,homoglyph_suspicious,encoding_ratio,punycode_suspicious,subdomain_spam_score,visual_brand_similarity,brand_in_domain,leet_in_domain,brand_hyphen_suspicious,domain_len,domain_digit_ratio,max_domain_digits,path_depth,has_redirect,double_slash_in_path,abnormal_subdomain,http_no_brand_no_age,leet_brand_score,label
url_len,1.0,0.29467575753031783,0.2749061184272108,0.1351527448736947,0.20523549803592364,0.18483801706415753,0.05315437096065288,0.17737339046821868,0.3289968853551442,0.2995533103397144,0.23331706715920214,0.9052268762312071,0.993095101673362,0.22922921949852923,0.10835527756749579,0.40575324362335313,0.0921981160025389,,0.0017066284320808687,0.27787478547445266,0.3217530346634922,0.16768143155359636,-0.05979235134980078,0.3332552979115554,,0.11488904440352549,0.07344161239751282,0.035057170410291216,-0.010416785910300373,-0.05094270220722176,-0.031606766701249615,0.04952115384258703,-0.0075187765963151505,-0.0003992276173737231,-0.0026922134914979853,0.01128563579595112,0.22611971461328734,0.1393186823956837,0.19903535122633353,0.012464591451277502,0.00029363748334343734,0.09637447060434097,-0.0008083311580069807,0.06882988376029313,0.08103075309531539,-0.01406464607902013,-0.007211712494788745,-0.009402657997760066,0.04530904898848594,-0.006768918653504033,-0.006365877047473371,0.23501802540963365,0.05290013062778443,0.010488457811280594,0.0205961062298063,0.04524875376819868,-0.007619406590463184,0.0729794043762326
path_len,0.29467575753031783,1.0,0.22291622673992895,0.34066802079665276,0.537417865512562,0.26947590018217515,0.0345351911180399,0.10445719201617719,0.20139015458397616,0.15091041837270225,0.02615730729734804,0.24116013959753038,0.26383333997619873,0.7336238809583866,0.011573446765452026,0.1732980473941725,0.07215554731420078,,0.00388051515604813,0.7288773113908918,0.17260442820801486,0.25769869364508663,-0.08341016263050281,0.5892803019480921,,0.050831511953675086,-0.012650409319696297,0.03709286922717811,-0.06825138120965604,-0.23352431635439685,-0.050393576634064983,0.05353390264306107,-0.048918529297178166,-0.01130669134888383,0.014300778670651233,0.03533917230764956,0.13674182814597846,0.14541685177212718,0.36229940272869793,-0.07516547922961099,0.00039524721839360907,0.03097163544921724,-0.010439884910799646,-0.0002810478342758465,0.13894278379369895,-0.045216878714943586,-0.03885637442840107,-0.0270552260348817,0.03513315469169508,-0.054152750767535784,-0.053904071447082064,0.7639612158440188,-0.0050911024293967535,0.020243969332148434,-0.04667265283196318,0.05678607105065365,-0.01940173064052756,-0.0022572781841414674
num_dots,0.2749061184272108,0.22291622673992895,1.0,0.5725454071421913,0.059386826343957956,0.13870833773814756,0.18688655237093083,0.2626762695989529,0.4315094945851263,0.4903222463080618,0.24666688954554636,0.3336971923649198,0.2183352974534182,0.23146644721254322,0.17805242302326804,0.3818611397519036,0.0762681325723626,,0.0043573115053528065,0.2918605627566527,0.49070961747717445,0.21271078525193396,-0.14817954919868498,0.40832004555796586,,0.4661182438132194,0.28498039885247733,0.17447010190503406,0.0034201991660136512,-0.07395489714383789,-0.06986864723695017,0.10682732325100155,-0.0077137329632824886,0.0024266088469462534,0.06879421497850667,0.02215438440899527,0.1268222599632575,0.12670653119561115,0.24012923396466512,0.11381227172561084,0.004661604649046648,0.10325324686963916,0.0014139786871442868,0.3308972499271282,0.12133794233768926,-0.043496370105874045,0.016333607264520638,-0.03610189382240408,-0.007694949198758061,0.04407578247905989,0.025816088813014795,0.2456029605057875,0.08355367733163468,0.02120421707487586,0.11019587077438173,0.11690502508753398,-0.02131117060011703,0.24078781648857434
path_dots,0.1351527448736947,0.34066802079665276,0.5725454071421913,1.0,0.05718263585948669,0.10558423067778967,0.07576577558362571,0.11804498471850583,0.12133247766318622,0.07571572255346028,0.021273141436193303,0.11851391278839363,0.1159982775249249,0.3167804536648041,0.022853016810841672,0.06853755802255972,0.026386437731913244,,0.0031814575482534634,0.34370171609405836,0.11088934734465522,0.11130470841296801,-0.05159446557213044,0.27685205362032933,,-0.006008197484782942,-0.0027044701573735674,0.07717595096153983,-8.911868309558449e-06,-0.2694636673220625,-0.05355611066755868,0.13608546661555598,-0.02435101759544847,0.005528934949137333,0.1298900500339346,0.01196866269710806,-0.05824695988680966,0.05705741433177451,0.14983328959921147,0.03827095295992107,0.004493641745349196,0.01586426350212073,0.005574197254187136,0.025375471672765843,0.16768730594205783,-0.023833867195491115,0.011875072997898495,-0.01642061371522122,0.13653397982360715,0.021968394721330494,-0.006026989674386329,0.35727888294464005,0.029941683001143596,0.037319621430756345,0.03679194070634582,0.16957030794176028,-0.014786098839088001,0.07385095615166089
num_hyphens,0.20523549803592364,0.537417865512562,0.059386826343957956,0.05718263585948669,1.0,0.03480207925445312,-0.009298536195258321,0.014373227155269308,0.07613533581027945,0.07256489509546815,0.05879492861064655,0.18092352340752,0.17579697259421595,0.23979098726504552,0.00024650368156326467,0.038081026882405306,0.0358101539053894,,0.000822283014310876,0.2537770584781804,0.06652968385381043,0.17950806804078698,-0.13365328719183375,0.3535215455430049,,0.04985061745291117,0.013356326713274238,0.033582240023924737,-0.034589370965977265,-0.09133830908648749,-0.04700756492339529,0.01775974518659396,0.0020515113735770844,0.03376243168686723,-0.015465701965883804,0.04237530919461231,0.012166795190179382,0.09845770564914788,0.26791803361669925,0.006832729008024111,-0.002194015743111282,0.013541026931014562,0.03277785179688739,0.016353796021216657,0.09278360684014622,-0.0014386826950461224,-0.002616379458633941,0.012957663764599335,0.08782552114067772,-0.015180453323477946,-0.0009849747760338097,0.25780135411669064,0.022508306611228556,-0.0003996547778865831,0.035730858471768163,-0.005808058143977508,-0.0050329326247810224,-0.0883545629937708
num_underscores,0.18483801706415753,0.26947590018217515,0.13870833773814756,0.10558423067778967,0.03480207925445312,1.0,0.0035909790872491127,0.0937778804170629,0.23281451883354687,0.20372744260538048,0.1708809761696504,0.15970930418385224,0.15867928119341793,0.15932576756342798,0.004653799838031654,0.1683134867398398,0.20623137150640458,,0.0030299299457397498,0.1783858366711255,0.2130225196530281,0.03620020156792124,-0.01110271428517987,0.22053503449222994,,0.06310325370859875,0.022548886208438538,0.006184365440298738,-0.03538846071840155,-0.10127009597510514,-0.02324291318274541,0.026010079610458266,-0.023045163078562938,-0.006418283486497429,-0.004858111354731467,-0.006035262532797352,0.059562969936632564,0.10495313445177018,0.10279049024027427,-0.025057906514601602,0.0010007669575156867,0.04748669909794839,-0.006180118517672623,0.013842697338022472,0.06800499495410384,-0.021543999608674976,-0.013874705855005286,-0.019051262674665715,0.0034524050685217343,-0.022989785947041444,-0.022201561311601305,0.1723856835478753,0.0340514105382418,0.00146392951295596,-0.01836170005361309,0.01151355894977336,-0.011149908505859906,-0.06394789464587924
num_at,0.05315437096065288,0.0345351911180399,0.18688655237093083,0.07576577558362571,-0.009298536195258321,0.0035909790872491127,1.0,0.11942716868117949,0.11944692554634374,0.11569480114550715,0.002977782979339638,0.04531148831632042,0.0446449252985094,0.07724343140839776,0.17365949228492802,0.11019978425665955,0.0022229789882122664,,0.012931908405696595,0.07927991867846572,0.14372172450664944,0.022759185296410647,-0.01662833950877678,0.09374872986581727,,-0.007592822189989863,0.025532182662816132,0.020035341434612507,0.010179309855289502,-0.025093728476326415,-0.0026256275661470274,0.05553722451369957,-0.007887548788130479,0.013503426727880683,0.012735540545685714,-0.0034038728229643265,0.0072779564449774485,0.019789051441875042,0.046191710080488196,0.014639178625098061,0.010236100754829782,0.0015678959387643704,0.014739569801275597,0.029319457160046285,0.02947528968850818,-0.009886800564878609,0.0031073580208277013,-0.004982025997147169,0.015527641357682509,-0.00046032876078841455,-0.0010965791604913204,0.07182489294471617,0.0033608504073794794,0.009290949802606682,0.014511429798227912,0.056374104443726945,-0.004019717082418593,0.08040831770065562
num_qmark,0.17737339046821868,0.10445719201617719,0.2626762695989529,0.11804498471850583,0.014373227155269308,0.0937778804170629,0.11942716868117949,1.0,0.49148142287552254,0.3514963279056192,0.08060167001412634,0.19129258601347848,0.14488676155572242,0.1160488102015592,0.062035890720297526,0.23574988262811336,0.27970874561801434,,0.0053110951294138955,0.18699859600791507,0.5013667199453493,0.15161301981220449,-0.12811498214110373,0.33500848366584685,,0.04749188466431294,0.01745340700753616,0.013313324630651338,-0.006481177566402571,-0.043961240413822274,-0.02446420768281233,0.08532766811379644,-0.010778173392596698,-0.0006572917639659214,-0.021512949145236198,-0.0076598492877371326,0.1470583500411618,0.07311996913606378,0.18029330587340245,-0.014958100813722263,0.005503372770748979,0.05324439227347679,-0.003307814377813879,0.016828169936730905,0.03846441256785065,-0.010610037081898454,-0.003261000048742687,-0.00847305183139008,0.007306233791512706,-0.014304445013936495,-0.01083104319122064,0.11897000052028542,0.10383419691938638,0.004226161111653734,-0.016291566396775967,0.08894879886131697,-0.005095241991265466,0.07484720251302363
num_equal,0.3289968853551442,0.20139015458397616,0.4315094945851263,0.12133247766318622,0.07613533581027945,0.23281451883354687,0.11944692554634374,0.49148142287552254,1.0,0.8963587113845519,0.22610832274252327,0.3815176899268601,0.26699648184518426,0.17617058188829526,0.12601044846920365,0.5640772597159373,0.11208667152770593,,-0.0012679208349125803,0.23442767813178225,0.9472009903626759,0.20660095785459207,-0.14936037639526484,0.4508579386296087,,0.11747436402868572,0.05793787480328878,0.01671411078704719,-0.018888119868652863,0.0039776589181593405,-0.02468112545502736,0.0663571395504755,-0.01336113632740892,-0.002832101876584604,-0.02261414151983307,-0.004904783670761206,0.25673417555903816,0.13342121625049957,0.26171303144340824,-0.01740595506475811,-0.0006560439599061492,0.08548337312319537,-0.0047642478479920656,0.043946936983358095,0.054038384909531535,-0.017641651998943676,-0.015088269462889084,-0.013734361193832454,0.005960816518607908,-0.025494278940678634,-0.020531225183532908,0.17646942444756528,0.16881712138017435,0.0039486932582197,-0.00965396111690989,0.059782454136704924,-0.008482974093182558,0.11873748676236508
num_amp,0.2995533103397144,0.15091041837270225,0.4903222463080618,0.07571572255346028,0.07256489509546815,0.20372744260538048,0.11569480114550715,0.3514963279056192,0.8963587113845519,1.0,0.21094677608719267,0.3687576578714168,0.23572578259714086,0.1469190899151936,0.1706426802658709,0.6081024318673796,0.09260911033881224,,-0.0018435233113496177,0.18102955342405794,0.9560811532358132,0.17786097111361854,-0.13752023578929715,0.34609468749492395,,0.08994681355249426,0.045268500894101,0.012446329749386729,-0.013900324731717238,0.013983186784079381,-0.016140389564338616,0.03933501179662892,-0.010536104090082349,-0.0034428962811408116,-0.014724936791179614,-0.0023275415310102998,0.19584909359435657,0.1117997144988507,0.22849782274757166,-0.015580504644828472,-0.0009977454738112927,0.06942035510906838,-0.004110068091950342,0.032824885901846616,0.039514003689278,-0.0145897732894931,-0.01269852581326407,-0.01158060398616564,0.009317418340088772,-0.01984258073627476,-0.014979806295186835,0.14527278414032754,0.1332554669954557,0.0006567091162098939,-0.010696625086440599,0.03689761484446861,-0.007904988234322,0.11369153893324131
