Feature_1,Feature_2,Correlation,Abs_Correlation
url_len,num_letters,0.993095101673362,0.993095101673362
num_subdirs,path_depth,0.967535637815527,0.967535637815527
puny,punycode_suspicious,0.9657000753156096,0.9657000753156096
num_slashes,path_depth,0.9607772077654272,0.9607772077654272
num_amp,num_params,0.9560811532358132,0.9560811532358132
num_equal,num_params,0.9472009903626759,0.9472009903626759
num_subdirs,num_slashes,0.9354539468570129,0.9354539468570129
url_len,num_digits,0.9052268762312071,0.9052268762312071
brand_mismatch,brand_in_domain,0.8972617739453288,0.8972617739453288
num_equal,num_amp,0.8963587113845519,0.8963587113845519
ratio_digits,ratio_letters,-0.8868326551709199,0.8868326551709199
num_non_ascii,homoglyph_suspicious,0.8621934018846338,0.8621934018846338
domain_digit_ratio,max_domain_digits,0.8597565000660565,0.8597565000660565
num_digits,num_letters,0.8578858611595696,0.8578858611595696
has_multi_subdomain,subdomain_spam_score,0.8418146299607039,0.8418146299607039
ratio_digits,max_digits,0.815362699756415,0.815362699756415
path_len,path_depth,0.7639612158440188,0.7639612158440188
leet_speak_score,domain_digit_ratio,0.7580821817558887,0.7580821817558887
leet_in_domain,max_domain_digits,0.7512796947401938,0.7512796947401938
leet_in_domain,domain_digit_ratio,0.7400559420875028,0.7400559420875028
path_len,num_subdirs,0.7336238809583866,0.7336238809583866
path_len,num_slashes,0.7288773113908918,0.7288773113908918
sus_words,http_no_brand_no_age,0.706247444770802,0.706247444770802
num_repeating,max_vowels,0.7042301249607698,0.7042301249607698
ratio_letters,max_digits,-0.6986738147045533,0.6986738147045533
leet_speak_score,abnormal_subdomain,0.6409662897114137,0.6409662897114137
leet_speak_score,max_domain_digits,0.6192198519071906,0.6192198519071906
num_amp,num_special,0.6081024318673796,0.6081024318673796
risky_tld,http_no_brand_no_age,0.5939923868988947,0.5939923868988947
num_special,num_params,0.5937106736010705,0.5937106736010705
path_len,url_entropy,0.5892803019480921,0.5892803019480921
num_percent,encoding_ratio,0.5812561687467486,0.5812561687467486
subdomain_parts,subdomain_spam_score,0.5765987070588158,0.5765987070588158
num_dots,path_dots,0.5725454071421913,0.5725454071421913
num_equal,num_special,0.5640772597159373,0.5640772597159373
url_entropy,max_digits,0.5566229157566001,0.5566229157566001
brand_in_domain,brand_hyphen_suspicious,0.5535053965255575,0.5535053965255575
ratio_digits,url_entropy,0.5486545675018295,0.5486545675018295
subdomain_parts,has_multi_subdomain,0.5469180743738187,0.5469180743738187
path_len,num_hyphens,0.537417865512562,0.537417865512562
num_slashes,url_entropy,0.5284970142003137,0.5284970142003137
leet_speak_score,leet_in_domain,0.5152591683040595,0.5152591683040595
url_entropy,path_depth,0.5096657180546404,0.5096657180546404
brand_mismatch,brand_hyphen_suspicious,0.5067437550390653,0.5067437550390653
num_qmark,num_params,0.5013667199453493,0.5013667199453493
num_qmark,num_equal,0.49148142287552254,0.49148142287552254
num_dots,num_params,0.49070961747717445,0.49070961747717445
num_dots,num_amp,0.4903222463080618,0.4903222463080618
num_dots,subdomain_parts,0.4661182438132194,0.4661182438132194
ratio_digits,leet_speak_score,0.4615591622709242,0.4615591622709242
num_subdirs,url_entropy,0.45957542479591007,0.45957542479591007
num_digits,ratio_digits,0.45413221567477946,0.45413221567477946
num_equal,url_entropy,0.4508579386296087,0.4508579386296087
num_params,url_entropy,0.444111806481268,0.444111806481268
num_dots,num_equal,0.4315094945851263,0.4315094945851263
ratio_letters,leet_speak_score,-0.42577042093636014,0.42577042093636014
num_digits,max_digits,0.4141583867489612,0.4141583867489612
num_dots,url_entropy,0.40832004555796586,0.40832004555796586
url_len,num_special,0.40575324362335313,0.40575324362335313
num_digits,num_special,0.40485871376325605,0.40485871376325605
https_flag,max_consonants,0.39178355506912926,0.39178355506912926
num_digits,url_entropy,0.3844603468994283,0.3844603468994283
num_dots,num_special,0.3818611397519036,0.3818611397519036
num_digits,num_params,0.3816913372534368,0.3816913372534368
num_equal,num_digits,0.3815176899268601,0.3815176899268601
num_amp,num_digits,0.3687576578714168,0.3687576578714168
num_letters,num_special,0.36649859451253747,0.36649859451253747
path_len,max_digits,0.36229940272869793,0.36229940272869793
sus_words,brand_hyphen_suspicious,0.3611833340154136,0.3611833340154136
sus_words,brand_mismatch,0.35843299121840566,0.35843299121840566
https_flag,path_depth,-0.3581766596646776,0.3581766596646776
path_dots,path_depth,0.35727888294464005,0.35727888294464005
sus_words,brand_in_domain,0.3541222453105702,0.3541222453105702
num_hyphens,url_entropy,0.3535215455430049,0.3535215455430049
num_qmark,num_amp,0.3514963279056192,0.3514963279056192
num_slashes,https_flag,-0.3488586567379322,0.3488586567379322
num_digits,ratio_letters,-0.3469131054391651,0.3469131054391651
num_percent,num_digits,0.34645088773370397,0.34645088773370397
num_amp,url_entropy,0.34609468749492395,0.34609468749492395
path_dots,num_slashes,0.34370171609405836,0.34370171609405836
path_len,path_dots,0.34066802079665276,0.34066802079665276
ratio_letters,domain_digit_ratio,-0.33861938448862766,0.33861938448862766
ratio_digits,domain_digit_ratio,0.3385922437179321,0.3385922437179321
num_qmark,url_entropy,0.33500848366584685,0.33500848366584685
num_dots,num_digits,0.3336971923649198,0.3336971923649198
url_len,url_entropy,0.3332552979115554,0.3332552979115554
num_dots,subdomain_spam_score,0.3308972499271282,0.3308972499271282
url_len,num_equal,0.3289968853551442,0.3289968853551442
url_len,num_params,0.3217530346634922,0.3217530346634922
brand_in_domain,http_no_brand_no_age,0.3216663541602649,0.3216663541602649
ratio_digits,abnormal_subdomain,0.3200993487497223,0.3200993487497223
path_dots,num_subdirs,0.3167804536648041,0.3167804536648041
brand_mismatch,http_no_brand_no_age,0.31280600096856265,0.31280600096856265
risky_tld,brand_in_domain,0.310967295499052,0.310967295499052
num_slashes,max_digits,0.30380418439926066,0.30380418439926066
url_entropy,subdomain_parts,0.30076308571531973,0.30076308571531973
url_len,num_amp,0.2995533103397144,0.2995533103397144
max_digits,path_depth,0.29705772430638355,0.29705772430638355
url_len,path_len,0.29467575753031783,0.29467575753031783
risky_tld,brand_mismatch,0.29403704977551837,0.29403704977551837
ratio_letters,url_entropy,-0.2940164355502041,0.2940164355502041
brand_hyphen_suspicious,http_no_brand_no_age,0.2932615413005782,0.2932615413005782
num_dots,num_slashes,0.2918605627566527,0.2918605627566527
max_digits,leet_speak_score,0.2913245011268075,0.2913245011268075
num_dots,has_multi_subdomain,0.28498039885247733,0.28498039885247733
ratio_digits,max_domain_digits,0.2833619849124279,0.2833619849124279
num_subdirs,max_digits,0.28084632971891077,0.28084632971891077
num_qmark,num_repeating,0.27970874561801434,0.27970874561801434
num_subdirs,https_flag,-0.27968940375123236,0.27968940375123236
num_letters,url_entropy,0.27948401582538823,0.27948401582538823
url_len,num_slashes,0.27787478547445266,0.27787478547445266
path_dots,url_entropy,0.27685205362032933,0.27685205362032933
subdomain_parts,label,0.2757792788326021,0.2757792788326021
url_len,num_dots,0.2749061184272108,0.2749061184272108
ratio_letters,max_domain_digits,-0.2743437282722347,0.2743437282722347
ratio_letters,abnormal_subdomain,-0.2734573299901754,0.2734573299901754
risky_tld,brand_hyphen_suspicious,0.27177543647301805,0.27177543647301805
https_flag,label,0.27165584266524523,0.27165584266524523
path_len,num_underscores,0.26947590018217515,0.26947590018217515
path_dots,https_flag,-0.2694636673220625,0.2694636673220625
max_consonants,label,0.26941143632300435,0.26941143632300435
num_hyphens,max_digits,0.26791803361669925,0.26791803361669925
risky_tld,sus_words,0.26742069039306465,0.26742069039306465
num_equal,num_letters,0.26699648184518426,0.26699648184518426
num_params,max_digits,0.26513956901844704,0.26513956901844704
path_len,num_letters,0.26383333997619873,0.26383333997619873
num_dots,num_qmark,0.2626762695989529,0.2626762695989529
https_flag,domain_len,-0.2626032662565316,0.2626032662565316
